Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg",Delta,IV,Type,Time
"2,200.00",+57.59%,"2,978.90","2,986.25","2,993.60",0.00,unch,unch,0,0,unch,0.99128,201.07%,Call,N/A
"2,400.00",+53.73%,"2,779.30","2,786.80","2,794.30",0.00,unch,unch,0,0,unch,0.98997,183.61%,Call,N/A
"2,600.00",+49.88%,"2,580.50","2,587.35","2,594.20",0.00,unch,unch,0,0,unch,0.98943,164.67%,Call,N/A
"2,800.00",+46.02%,"2,380.50","2,388.15","2,395.80",0.00,unch,unch,0,0,unch,0.99897,105.79%,Call,N/A
"3,000.00",+42.16%,"2,181.60","2,188.50","2,195.40",0.00,unch,unch,0,0,unch,0.99880,95.12%,Call,N/A
"3,200.00",+38.31%,"1,982.40","1,989.40","1,996.40",0.00,unch,unch,0,0,unch,0.99698,93.06%,Call,N/A
"3,400.00",+34.45%,"1,786.60","1,791.50","1,796.40",0.00,unch,unch,0,0,unch,0.99195,93.34%,Call,N/A
"3,600.00",+30.60%,"1,588.10","1,593.70","1,599.30",0.00,unch,unch,0,0,unch,0.98634,88.16%,Call,N/A
"3,800.00",+26.74%,"1,391.00","1,395.85","1,400.70",0.00,unch,unch,0,0,unch,0.97998,80.71%,Call,N/A
"4,000.00",+22.89%,"1,194.70","1,199.50","1,204.30",0.00,unch,unch,0,0,unch,0.96878,74.38%,Call,N/A
"4,100.00",+20.96%,"1,096.90","1,102.20","1,107.50",0.00,unch,unch,0,0,unch,0.96040,71.53%,Call,N/A
"4,200.00",+19.03%,"1,000.20","1,004.90","1,009.60",0.00,unch,unch,0,0,unch,0.95126,68.06%,Call,N/A
"4,300.00",+17.10%,903.70,908.90,914.10,0.00,unch,unch,0,0,unch,0.93828,65.17%,Call,N/A
"4,400.00",+15.17%,808.30,813.05,817.80,0.00,unch,unch,0,0,unch,0.92366,61.69%,Call,N/A
"4,500.00",+13.25%,714.30,719.85,725.40,0.00,unch,unch,0,0,unch,0.90186,59.16%,Call,N/A
"4,600.00",+11.32%,622.30,627.30,632.30,544.41,unch,unch,0,1,+1,0.87656,56.03%,Call,04/07/25
"4,650.00",+10.35%,577.20,581.85,586.50,0.00,unch,unch,0,0,unch,0.86126,54.50%,Call,N/A
"4,700.00",+9.39%,532.60,537.95,543.30,397.93,unch,unch,0,2,+2,0.84242,53.37%,Call,04/07/25
"4,750.00",+8.43%,489.10,493.45,497.80,0.00,unch,unch,0,0,unch,0.82361,51.69%,Call,N/A
"4,775.00",+7.94%,467.30,472.20,477.10,0.00,unch,unch,0,0,unch,0.81219,51.12%,Call,N/A
"4,800.00",+7.46%,446.50,451.20,455.90,0.00,unch,unch,0,0,unch,0.80014,50.55%,Call,N/A
"4,810.00",+7.27%,436.50,442.15,447.80,0.00,unch,unch,0,0,unch,0.79617,50.07%,Call,N/A
"4,820.00",+7.08%,428.10,433.95,439.80,0.00,unch,unch,0,0,unch,0.79092,49.88%,Call,N/A
"4,825.00",+6.98%,424.90,430.40,435.90,266.84,unch,unch,0,1,+1,0.78752,49.96%,Call,04/07/25
"4,830.00",+6.88%,419.50,425.55,431.60,0.00,unch,unch,0,0,unch,0.78591,49.60%,Call,N/A
"4,840.00",+6.69%,411.10,417.00,422.90,0.00,unch,unch,0,0,unch,0.78104,49.25%,Call,N/A
"4,850.00",+6.50%,404.30,408.90,413.50,0.00,unch,unch,0,0,unch,0.77550,49.05%,Call,N/A
"4,860.00",+6.31%,394.90,400.65,406.40,252.79,unch,unch,0,1,+1,0.77011,48.78%,Call,04/07/25
"4,870.00",+6.11%,386.70,391.60,396.50,246.29,unch,unch,0,0,unch,0.76568,48.23%,Call,04/07/25
"4,875.00",+6.02%,383.60,388.00,392.40,212.49,unch,unch,0,1,+1,0.76226,48.25%,Call,04/07/25
"4,880.00",+5.92%,378.10,384.50,390.90,0.00,unch,unch,0,0,unch,0.75871,48.30%,Call,N/A
"4,890.00",+5.73%,369.90,376.35,382.80,0.00,unch,unch,0,0,unch,0.75301,48.01%,Call,N/A
"4,900.00",+5.53%,363.90,368.55,373.20,303.52,unch,unch,0,69,+2,0.74683,47.82%,Call,04/07/25
"4,910.00",+5.34%,354.20,359.45,364.70,297.21,unch,unch,0,1,+1,0.74210,47.22%,Call,04/07/25
"4,920.00",+5.15%,346.20,352.70,359.20,0.00,unch,unch,0,0,unch,0.73459,47.31%,Call,N/A
"4,925.00",+5.05%,344.00,348.65,353.30,0.00,unch,unch,0,0,unch,0.73158,47.15%,Call,N/A
"4,930.00",+4.96%,337.90,344.65,351.40,307.37,unch,unch,0,1,+1,0.72850,46.99%,Call,04/07/25
"4,940.00",+4.76%,333.40,338.45,343.50,0.00,unch,unch,0,0,unch,0.72041,47.20%,Call,N/A
"4,950.00",+4.57%,326.00,328.35,330.70,375.58,+160.38,+74.53%,8,29,+1,0.71628,46.26%,Call,"10:15 ET"
"4,960.00",+4.38%,318.20,320.65,323.10,223.67,unch,unch,0,170,+170,0.70957,46.00%,Call,04/07/25
"4,965.00",+4.28%,314.50,316.80,319.10,0.00,unch,unch,0,0,unch,0.70619,45.86%,Call,N/A
"4,970.00",+4.19%,310.20,312.80,315.40,353.31,+130.09,+58.28%,2,2,+2,0.70293,45.68%,Call,"10:05 ET"
"4,975.00",+4.09%,306.40,309.00,311.60,357.27,+118.47,+49.61%,5,5,+5,0.69945,45.55%,Call,"10:29 ET"
"4,980.00",+3.99%,302.60,305.15,307.70,238.88,unch,unch,0,10,+10,0.69601,45.40%,Call,04/07/25
"4,985.00",+3.90%,298.80,301.35,303.90,218.16,unch,unch,0,2,+2,0.69249,45.26%,Call,04/07/25
"4,990.00",+3.80%,295.50,297.85,300.20,235.53,unch,unch,0,4,+4,0.68869,45.20%,Call,04/07/25
"4,995.00",+3.70%,291.70,294.10,296.50,232.28,unch,unch,0,5,+5,0.68509,45.07%,Call,04/07/25
"5,000.00",+3.61%,288.00,290.35,292.70,226.22,unch,unch,0,13,+12,0.68148,44.93%,Call,04/07/25
"5,005.00",+3.51%,284.20,286.50,288.80,278.85,+36.39,+15.01%,4,1,+1,0.67792,44.76%,Call,"12:15 ET"
"5,010.00",+3.41%,280.80,282.45,284.10,213.55,unch,unch,0,2,+2,0.67449,44.53%,Call,04/07/25
"5,015.00",+3.32%,276.80,278.30,279.80,187.88,unch,unch,0,2,+2,0.67111,44.27%,Call,04/07/25
"5,020.00",+3.22%,273.30,274.95,276.60,0.00,unch,unch,0,0,unch,0.66708,44.23%,Call,N/A
"5,025.00",+3.12%,269.40,271.05,272.70,0.00,unch,unch,0,0,unch,0.66344,44.03%,Call,N/A
"5,030.00",+3.03%,266.30,267.85,269.40,197.93,unch,unch,0,2,+2,0.65927,44.01%,Call,04/07/25
"5,035.00",+2.93%,262.20,263.70,265.20,0.00,unch,unch,0,0,unch,0.65576,43.74%,Call,N/A
"5,040.00",+2.84%,259.00,260.60,262.20,186.03,unch,unch,0,2,+2,0.65148,43.74%,Call,04/07/25
"5,045.00",+2.74%,255.60,256.95,258.30,0.00,unch,unch,0,0,unch,0.64756,43.59%,Call,N/A
"5,050.00",+2.64%,251.90,253.45,255.00,172.09,unch,unch,0,29,+28,0.64352,43.47%,Call,04/07/25
"5,055.00",+2.55%,248.40,249.85,251.30,169.31,unch,unch,0,0,unch,0.63952,43.32%,Call,04/07/25
"5,060.00",+2.45%,244.80,246.05,247.30,199.25,unch,unch,0,2,+2,0.63562,43.12%,Call,04/07/25
"5,065.00",+2.35%,240.70,242.45,244.20,0.00,unch,unch,0,0,unch,0.63156,42.96%,Call,N/A
"5,070.00",+2.26%,237.70,239.15,240.60,158.70,unch,unch,0,3,+3,0.62730,42.88%,Call,04/07/25
"5,075.00",+2.16%,234.10,235.55,237.00,221.20,+35.20,+18.92%,1,49,+49,0.62319,42.71%,Call,"12:17 ET"
"5,080.00",+2.06%,231.00,232.30,233.60,0.00,unch,unch,0,0,unch,0.61887,42.63%,Call,N/A
"5,085.00",+1.97%,227.60,228.90,230.20,172.22,unch,unch,0,73,+73,0.61460,42.51%,Call,04/07/25
"5,090.00",+1.87%,224.10,225.35,226.60,0.00,unch,unch,0,0,unch,0.61038,42.34%,Call,N/A
"5,095.00",+1.78%,220.30,221.90,223.50,208.33,+23.22,+12.54%,1,17,+17,0.60608,42.19%,Call,"12:17 ET"
"5,100.00",+1.68%,216.90,218.55,220.20,232.31,+53.38,+29.83%,1,7,+4,0.60171,42.06%,Call,"10:55 ET"
"5,105.00",+1.58%,214.10,215.35,216.60,176.08,unch,unch,0,4,+4,0.59725,41.97%,Call,04/07/25
"5,110.00",+1.49%,210.60,211.80,213.00,179.00,unch,unch,0,1,+1,0.59290,41.78%,Call,04/07/25
"5,115.00",+1.39%,207.40,208.55,209.70,165.71,unch,unch,0,1,+1,0.58841,41.67%,Call,04/07/25
"5,120.00",+1.29%,203.80,205.25,206.70,243.67,+79.77,+48.67%,1,2,+2,0.58391,41.53%,Call,"10:20 ET"
"5,125.00",+1.20%,200.50,201.95,203.40,239.69,+80.66,+50.72%,1,4,+4,0.57938,41.39%,Call,"10:20 ET"
"5,130.00",+1.10%,197.30,198.55,199.80,196.89,+50.26,+34.28%,4,3,+3,0.57484,41.22%,Call,"12:01 ET"
"5,140.00",+0.91%,190.70,192.15,193.60,0.00,unch,unch,0,0,unch,0.56557,40.96%,Call,N/A
"5,150.00",+0.72%,184.30,185.75,187.20,135.70,unch,unch,0,8,+7,0.55618,40.68%,Call,04/07/25
"5,160.00",+0.52%,178.00,179.30,180.60,178.91,-0.41,-0.23%,2,0,unch,0.54667,40.37%,Call,"12:12 ET"
"5,170.00",+0.33%,171.80,173.20,174.60,150.15,unch,unch,0,18,+14,0.53698,40.12%,Call,04/07/25
"5,175.00",+0.23%,168.70,170.10,171.50,170.83,+30.61,+21.83%,2,5,+1,0.53210,39.98%,Call,"12:13 ET"
"5,180.00",+0.14%,165.70,167.15,168.60,137.62,unch,unch,0,2,+1,0.52718,39.86%,Call,04/07/25
"5,190.00",-0.06%,159.50,160.90,162.30,124.74,unch,unch,0,2,+1,0.51722,39.53%,Call,04/07/25
"5,200.00",-0.25%,153.60,154.95,156.30,142.50,+21.80,+18.06%,39,211,+211,0.50713,39.25%,Call,"12:27 ET"
"5,210.00",-0.44%,147.50,148.95,150.40,148.07,+39.16,+35.96%,2,10,+10,0.49670,38.71%,Call,"11:57 ET"
"5,220.00",-0.63%,142.00,143.30,144.60,165.66,+37.89,+29.65%,60,18,+11,0.48656,38.67%,Call,"10:07 ET"
"5,225.00",-0.73%,139.10,140.40,141.70,90.70,unch,unch,0,60,+60,0.48133,38.51%,Call,04/07/25
"5,230.00",-0.83%,136.30,137.70,139.10,130.47,+8.11,+6.63%,62,15,+8,0.47611,38.40%,Call,"12:16 ET"
